학력,학과,학점,어학,,,,,,,,,,,,
대졸4년,컴퓨터학부, 학점 3.01/4.5, 토익 840, 오픽 IH, 자격증 1개,12,511, 읽음,,,,,,,
수도권4년,컴퓨터학부, 학점 3.2/4.5, 토익 845, 토스 Level6, 인턴 1회,8,824, 읽음,,,,,,,
수도권4년,컴퓨터학부, 학점 3.82/4.5, 토익 735, 자격증 2개, 수상 1회,33,162, 읽음,,,,,,,
해외대학, 소프트웨어공학, 학점 3.6/4.5,0,21,341, 읽음,,,,,,,,,
수도권4년,컴퓨터학부, 학점 3.2/4.5, 토익 845, 오픽 IM2, 자격증 4개, 해외경험 1회, 수상 2회, 자원봉사 2회,147,342, 읽음,,,,
수도권4년,컴퓨터학부, 학점 3.89/4.5, 토익 890, 오픽 IH, 자격증 1개, 해외경험 1회, 인턴 2회, 수상 2회,26,31, 읽음,,,,
수도권4년,컴퓨터학부, 학점 3.7/4.5, 토익 825, 오픽 IH, 자격증 1개, 인턴 1회,2,482, 읽음,,,,,,
지방4년,컴퓨터학부, 학점 3.8/4.5, 토익 760, 자격증 2개, 인턴 1회, 수상 2회,69,947, 읽음,,,,,,
수도권4년,컴퓨터학부, 학점 3.1/4.5, 토익 705, 자격증 1개, 인턴 1회,10,727, 읽음,,,,,,,
수도권4년, 공간정보공학과, 학점 3.62/4.5,0,38,864, 읽음,,,,,,,,,
수도권4년,컴퓨터학부, 학점 4.2/4.5, 토스 Level7, 자격증 1개,2,742, 읽음,,,,,,,,
수도권4년,컴퓨터학부, 학점 3.1/4.5, 토익 705, 자격증 1개, 인턴 1회,3,63, 읽음,,,,,,,
초대졸, IPTV서비스과, 학점 3.64/4.3,0, 사회활동 1회,10,525, 읽음,,,,,,,,
수도권4년,컴퓨터학부, 학점 3.13/4.5,0, 인턴 1회, 수상 3회,83,302, 읽음,,,,,,,
수도권4년,전기전자, 학점 3.5/4.5, 토익 775, 자격증 1개, 해외경험 1회,10,309, 읽음,,,,,,,
고졸, 자격증 4개, 수상 3회,0, 교내활동 1회, 사회활동 1회,16,912, 읽음,,,,,,,
수도권4년,컴퓨터학부, 학점 3.7/4.5, 토익 765, 토스 Level5, 자격증 1개, 인턴 1회,7,490, 읽음,,,,,,
수도권4년,컴퓨터학부, 학점 3.9/4.5, 토익 940, 자격증 1개,7,161, 읽음,,,,,,,,
수도권4년,컴퓨터학부, 학점 3.3/4.5, 토익 865, 토스 Level6, 수상 1회,6,20, 읽음,,,,,,,
수도권4년, 응용통계학과, 학점 3.67/4.5, 토익 990, 토스 Level8, 오픽 AL, 자격증 1개, 해외경험 1회, 인턴 1회, 수상 1회, 동아리 2회,27,498, 읽음,,
수도권4년,컴퓨터학부, 학점 3.67/4.5, 토익 700, 토스 Level6, 자격증 1개, 자원봉사 3회,41,389, 읽음,,,,,,
수도권4년,전기전자, 학점 3.9/4.5, 토스 Level6, 자격증 2개, 인턴 1회, 수상 2회, 동아리 2회,48,158, 읽음,,,,,
수도권4년,컴퓨터학부, 학점 3.3/4.5, 토익 865, 자격증 4개, 해외경험 1회, 인턴 1회, 수상 1회, 자원봉사 1회,5,942, 읽음,,,,
수도권4년,컴퓨터학부, 학점 3.07/4.5,0, 인턴 1회, 동아리 1회,24,548, 읽음,,,,,,,
수도권4년,컴퓨터학부, 학점 3.43/4.5, 토익 610, 자격증 1개, 인턴 2회, 수상 3회, 자원봉사 1회,21,757, 읽음,,,,,
대학원, 휴먼ICT융합학과, 학점 4.07/4.5, 오픽 IM2, 자격증 5개, 인턴 2회, 수상 2회,58,983, 읽음,,,,,,
수도권4년,산업공학, 학점 3.5/4.5, 토익 740, 토스 Level6, 자격증 1개, 인턴 1회,2,891, 읽음,,,,,,
지방4년, 물류시스템공학과, 학점 3.8/4.5, 토익 925, 토스 Level6, 오픽 IH, 자격증 4개, 해외경험 1회,7,231, 읽음,,,,,
지방4년,컴퓨터학부, 학점 4.05/4.5, 토익 730, 오픽 IM2, 자격증 3개, 수상 2회, 자원봉사 1회,23,680, 읽음,,,,,
수도권4년,컴퓨터학부, 학점 4.1/4.5, 토익 630, 자격증 3개, 수상 1회, 자원봉사 3회,6,915, 읽음,,,,,,
수도권4년,컴퓨터학부, 학점 3.7/4.5, 토익 850, 토스 Level6, 자격증 1개, 인턴 1회,3,627, 읽음,,,,,,
수도권4년,컴퓨터학부, 학점 3.7/4.5, 토익 735, 오픽 IH, 자격증 4개, 해외경험 1회, 인턴 1회, 자원봉사 1회,4,412, 읽음,,,,
지방4년,컴퓨터학부, 학점 3.3/4.5, 토익 765, 오픽 IL, 자격증 1개, 수상 1회,2,767, 읽음,,,,,,
수도권4년, 정보통신공학, 학점 4.02/4.5, 토익 810, 토스 Level6, 자격증 3개,10,80, 읽음,,,,,,,
지방4년,컴퓨터학부, 학점 4.05/4.5, 토익 730, 오픽 IM2, 자격증 3개, 해외경험 1회, 수상 2회, 자원봉사 1회,28,799, 읽음,,,,
